CLAFAM,NOMFAM,CLATAL,TYC,ESCANDALLO,COMPONENTE,SERGAR,GARMONTH,MULTIUNI,CLAUNI,TACTIL,IMAGEN,ORDEN,FAVORITO,IMPCOCINA,VTAONLINE,CLAPARENT,GRUPO,POSIMG,PVPONLINE,PALCLAVE,IMGWEB,IMGWEBP,DESCR,ORDENWEB,ATRIBUTOS,PVPMIN,CLAPRINTER,CLAGCOCINA,NOAGRUPAR,EPIGRAFE
194,Gato Rascadores,1,0,0,0,0,0,0,0,0,,0,0,0,0,193,0,0,1,,,,,0,,0,0,0,0,
195,Aves Salud e Higiene,1,0,0,0,0,0,0,0,0,,0,0,0,1,316,0,0,1,,,,,109,,0,0,0,0,
196,Gato Higiene y Salud,1,0,0,0,0,0,0,0,0,,0,0,0,0,311,0,0,1,,,,,0,,0,0,0,0,
197,PERRO Cama y Cunas,1,0,0,0,0,0,0,0,0,,0,0,0,0,22,1,0,1,,,,,0,,0,0,0,0,
198,Nobleza Transp y Viajes,1,0,0,0,0,0,0,0,0,,0,0,0,0,184,0,0,1,,,,,0,,0,0,0,0,
201,Perro Ropa y Moda,1,0,0,0,0,0,0,0,0,,0,0,0,0,22,1,0,1,,,,,0,,0,0,0,0,
202,PERRO Cama y Cunas,1,0,0,0,0,0,0,0,0,,0,0,0,0,197,0,0,1,,,,,0,,0,0,0,0,
203,Nobleza ropa,1,0,0,0,0,0,0,0,0,,0,0,0,0,201,0,0,1,,,,,0,,0,0,0,0,
204,Perro Correa Arnes Collar,1,0,0,0,0,0,0,0,0,,0,0,0,0,38,0,0,1,,,,,0,,0,0,0,0,
205,Nobleza Ropa y Moda,1,0,0,0,0,0,0,0,0,,0,0,0,0,201,0,0,1,,,,,0,,0,0,0,0,
207,Perro Comedero Bebedero,1,0,0,0,0,0,0,0,0,,0,0,0,0,38,0,0,1,,,,,0,,0,0,0,0,
208,Nobleza Camas y Cunas,1,0,0,0,0,0,0,0,0,,0,0,0,0,197,0,0,1,,,,,0,,0,0,0,0,
209,RC Perro Alim. Humedo,1,0,0,0,0,0,0,0,0,,0,0,0,0,191,0,0,1,,,,,0,,0,0,0,0,
210,Gato Arenas y Fondos,1,0,0,0,0,0,0,0,0,,0,0,0,0,311,0,0,1,,,,,0,,0,0,0,0,
211,Reptiles Alimento,1,0,0,0,0,0,0,0,0,,0,0,0,0,212,0,0,1,,,,,0,,0,0,0,0,
212,REPTILES,1,0,0,0,0,0,0,0,0,,0,0,0,0,36,1,0,1,,,,,0,,0,0,0,0,
213,PEQ MAMIFEROS Alimentos,1,0,0,0,0,0,0,0,0,,0,0,0,0,168,1,0,1,,,,,0,,0,0,0,0,
214,PEQ M Henos,1,0,0,0,0,0,0,0,0,,0,0,0,0,213,0,0,1,,,,,0,,0,0,0,0,
215,PEQ M Alimentos,1,0,0,0,0,0,0,0,0,,0,0,0,0,213,0,0,1,,,,,0,,0,0,0,0,
216,PEQ M Snacks,1,0,0,0,0,0,0,0,0,,0,0,0,0,213,0,0,1,,,,,0,,0,0,0,0,
217,Perro Transporte,1,0,0,0,0,0,0,0,0,,0,0,0,0,184,0,0,1,,,,,0,,0,0,0,0,
220,Aves Fondos de Jaula,1,0,0,0,0,0,0,0,0,,0,0,0,1,316,0,0,1,,,,,110,,0,0,0,0,
221,LEONARDO,1,0,0,0,0,0,0,0,0,,0,0,0,0,26,0,0,1,,,,,0,,0,0,0,0,
222,BEWICAT,1,0,0,0,0,0,0,0,0,,0,0,0,0,26,0,0,1,,,,,0,,0,0,0,0,
225,PERRO Piensos Naturales,1,0,0,0,0,0,0,0,0,,0,0,0,1,22,1,0,1,"Natural,Belcando",_54b0oqfja_g.png,.\imagesonline\_54b0oqfja_p.bmp,Piensos Naturales,82,,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Alimentos con componentes (derivados de animales, plantas, microrganismos o minerales)a los que no se les ha añadido nada o que",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,únicamente han sido sometidos a un procesamiento físico para hacerlos,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,utilizables en la producción de alimentos para animales de compañía,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,manteniendo su composición natural.,,,,,,,
240,JUWEL Acuarios,1,0,0,0,0,0,0,0,0,,0,0,0,1,248,0,0,1,"Jewel,españa,acuarios,totanimal,vialreal,castellon,",_54f0osyoq_g.jpg,.\imagesonline\_54f0osyoq_p.bmp,,98,,0,0,0,0,
248,PECES Acuarios/Accesorios,1,0,0,0,0,0,0,0,0,,0,0,0,1,36,1,0,1,"Acuarios,Peceras,peces",_54g0yjnx4_g.png,.\imagesonline\_54g0yjnx4_p.bmp,,106,,0,0,0,0,
249,zFamilias,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,1,,,,,0,,0,0,0,0,
251,PEQ MAMIFEROS Accesorios,1,0,0,0,0,0,0,0,0,,0,0,0,0,168,1,0,1,,,,,0,,0,0,0,0,
252,PECES Alimentos,1,0,0,0,0,0,0,0,0,,0,0,0,0,36,1,0,1,,,,,0,,0,0,0,0,
253,PECES Cuidado y Salud,1,0,0,0,0,0,0,0,0,,0,0,0,0,36,1,0,1,,,,,0,,0,0,0,0,
254,SERA Alimentos,1,0,0,0,0,0,0,0,0,,0,0,0,0,252,0,0,1,,,,,0,,0,0,0,0,
270,TRUE INSTICT GATO,1,0,0,0,0,0,1,2,0,,0,0,0,0,26,0,0,1,,,,,0,,0,0,0,0,
272,Fresh Dog,0,0,0,0,0,0,0,0,0,,0,0,0,0,225,0,0,1,,,,,0,,0,0,0,0,
274,Marina Acuarios,1,0,0,0,0,0,0,0,0,,0,0,0,0,248,0,0,1,,,,,0,,0,0,0,0,
282,Aves Jaulas,1,0,0,0,0,0,1,1,0,,0,0,0,0,315,0,0,1,,,,,0,,0,0,0,0,
285,Serrano Snack,1,0,0,0,0,0,0,0,0,,0,0,0,0,179,0,0,1,,,,,0,,0,0,0,0,
286,Ribero Henos,1,0,0,0,1,24,1,0,0,,0,0,0,0,213,0,0,1,,,,,0,,0,0,0,0,
287,RC VET Perro,1,0,0,0,1,24,0,0,0,,0,0,0,0,190,0,0,1,,,,,0,,0,0,0,0,
288,PECES Decoracion,1,0,0,0,0,0,0,0,0,,0,0,0,0,248,0,0,1,,,,,0,,0,0,0,0,
289,True Instinct Wet Dog,0,0,0,0,0,0,1,1,0,,0,0,0,0,191,0,0,1,,,,,0,,0,0,0,0,
290,True Instinct Wet Cat,0,0,0,0,0,0,1,1,0,,0,0,0,0,26,0,0,1,,,,,0,,0,0,0,0,
291,PEQ. Mamiferos Higiene S,1,0,0,0,0,0,0,0,0,,0,0,0,0,314,0,0,1,,,,,0,,0,0,0,0,
292,SERVICIO Transporte,1,0,0,0,0,0,1,0,0,,0,0,0,0,19,0,0,1,,,,,0,,0,0,0,0,
293,PEQ Mamiif Accesorios,1,0,0,0,0,0,0,0,0,,0,0,0,0,251,0,0,1,,,,,0,,0,0,0,0,
295,Perro Juguete,1,0,0,0,0,0,0,0,0,,0,0,0,0,162,0,0,1,,,,,0,,0,0,0,0,
296,Material embalaje,1,0,0,0,0,0,0,0,0,,0,0,0,0,19,0,0,1,,,,,0,,0,0,0,0,
297,RM Chapa Perro,1,0,0,0,0,0,0,0,0,,0,0,0,0,38,0,0,1,,,,,0,,0,0,0,0,
298,Gato RM Chapa,1,0,0,0,0,0,0,0,0,,0,0,0,0,193,0,0,1,,,,,0,,0,0,0,0,
299,Gatos Accesorios,1,0,0,0,0,0,0,0,0,,0,0,0,0,193,0,0,1,,,,,0,,0,0,0,0,
300,PECES Accesorios,1,0,0,0,0,0,0,0,0,,0,0,0,0,248,0,0,1,,,,,0,,0,0,0,0,
301,PECES Acondicionador Agua,1,0,0,0,0,0,0,0,0,,0,0,0,0,253,0,0,1,,,,,0,,0,0,0,0,
302,PECES Alimento Tropicales,1,0,0,0,0,0,0,0,0,,0,0,0,0,252,0,0,1,,,,,0,,0,0,0,0,
303,Peces Alimento Agua Fria,1,0,0,0,0,0,0,0,0,,0,0,0,0,252,0,0,1,,,,,0,,0,0,0,0,
304,BELCANDO Mastercraft,0,0,0,0,0,0,0,0,0,,0,0,0,0,225,0,0,1,,,,,0,,0,0,0,0,
305,Perro Pienso seco,1,0,0,0,0,0,0,0,0,,0,0,0,0,190,0,0,1,,,,,0,,0,0,0,0,
306,PECES Acuario,1,0,0,0,0,0,0,0,0,,0,0,0,0,248,0,0,1,,,,,0,,0,0,0,0,
307,BELCANDO Pienso Natural,1,0,0,0,0,0,0,0,0,,0,0,0,0,225,0,0,1,,,,,0,/3/4/2/,0,0,0,0,
309,PEQ Mamiferos Jaulas,1,0,0,0,0,0,0,0,0,,0,0,0,0,251,0,0,1,,,,,0,,0,0,0,0,
310,Reptiles  Cuidado y Salud,1,0,0,0,0,0,0,0,0,,0,0,0,0,212,0,0,1,,,,,0,,0,0,0,0,
311,Gato Higiene y Salud,1,0,0,0,0,0,0,0,0,,0,0,0,0,25,1,0,1,,,,,0,,0,0,0,0,
312,Anfibios,1,0,0,0,0,0,0,0,0,,0,0,0,0,100,1,0,1,,,,,0,,0,0,0,0,
313,Aves y Peq mamiferos,1,0,0,0,0,0,0,0,0,,0,0,0,0,100,1,0,1,,,,,0,,0,0,0,0,
314,PEQ MAM Higiene y Salud,1,0,0,0,0,0,0,0,0,,0,0,0,0,168,1,0,1,,,,,0,,0,0,0,0,
315,AVES Accesorios,1,0,0,0,0,0,0,0,0,,0,0,0,0,40,1,0,1,,,,,0,,0,0,0,0,
316,AVES Higiene y Salud,1,0,0,0,0,0,0,0,0,,0,0,0,0,40,1,0,1,,,,,0,,0,0,0,0,
317,SERVICIOS AL CLIENTE,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,1,,,,,0,,0,0,0,0,
318,Otros Servicios,1,0,0,0,0,0,0,0,0,,0,0,0,0,317,1,0,1,,,,,0,,0,0,0,0,
319,PERRO Leche,1,0,0,0,0,0,0,0,0,,0,0,0,0,191,0,0,1,,,,,0,,0,0,0,0,
320,GATO Leche,1,0,0,0,0,0,0,0,0,,0,0,0,0,26,0,0,1,,,,,0,,0,0,0,0,
321,Guarderia mascotas,1,0,0,0,0,0,0,0,0,,0,0,0,0,317,0,0,1,,,,,0,,0,0,0,0,
322,Natural Trainer Dog,0,0,0,0,0,0,0,0,0,,0,0,0,0,190,0,0,1,,,,,0,,0,0,0,0,
323,Natural Trainer Cat,0,0,0,0,0,0,0,0,0,,0,0,0,0,190,0,0,1,,,,,0,,0,0,0,0,
324,SERVICIOS Mantenimiento,1,0,0,0,0,0,0,0,0,,0,0,0,0,317,0,0,1,,,,,0,,0,0,0,0,
